Column1;w;Topic;Name;annotated_stance;annotated_stance_jose;stance
87694;It's not gatekeep and we didn't speak about only abortion here. I think a pro lifer should wish that child the best - how can a pro lifer truly wish an abusive parent to an innocent child? Otherwise why is somebody a pro lifer, if  that person doesn't wish a good life and loving parents? Most pro life people (in my life every) are pro adoption / foster family.;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
59543;u/BiryaniEater10, yes, this \^.  I would only reiterate that it is incontrovertible that the life of a human being is taken by abortion. The unborn is undoubtedly human and it is alive.   (If it were not alive, it's not considered an abortion to empty her uterus via drugs or any medical procedure.);0;0_abortion_abortions_fetus_pregnancy;neutral;against;
99972;I’m not talking about the people who are reachable with the right messaging. I’m talking about the pro life dead enders whose mission in life is to eradicate all abortions. They can go fuck themselves.;0;0_abortion_abortions_fetus_pregnancy;for;against;
15978;Some would say the same about the opposite side :). Truth is there are plenty of pro-life people, the fact that they aren’t as vocal and effective doesn’t mean they don’t exist and honestly their argument is more logically sound than the one you and I have…;0;0_abortion_abortions_fetus_pregnancy;against;for;
104794;"what kind of response are you hoping to get from this kind of comment lol? ""you've got me, I'm a lying liar who lies, your point that pl secretly thinks abortion is bad and abortion restrictions are good exposes me utterly and I gnash my teeth in bitter regret for ever believing something so shameful""  how about we debate instead?";0;0_abortion_abortions_fetus_pregnancy;against;neutral;
252228;You're missing the point.   The whole reason we've gotten to the point where we want the Court to protect our rights is that Congress has been too dysfunctional to do so.   The Court does not have the power to create or enforce laws. If the SC had decided in Dobbs that abortion had to be illegal across the whole country, Congress would still have the authority to override that decision by codifying the right to an abortion into law.;0;0_abortion_abortions_fetus_pregnancy;for;neutral;
66758;The lynchpin seems to be that this chills an *enumerated right*, which abortion isn't.;0;0_abortion_abortions_fetus_pregnancy;neutral;against;
10556;I mean, those who say they are anti-abortion, will change their mind in case of an unplanned pregnancy.      Statistically, more women are pro-life than men.;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
152687;"You forgot the most important point. Don't forget to be inconsistent in your gaslighting.    Take ""no uterus no opinion"" for example.                    Man is pro-choice = valuable ally                     Woman is pro-life = hates herself and all women.";0;0_abortion_abortions_fetus_pregnancy;against;neutral;
40991;It actually *is* pretty cool how, during the lengthy processes of labor and birth, the fetus very dramatically changes to a newborn (although there’s always a chance that, until it is actually born alive, it could be a stillbirth.)  (I’ve actually given birth and witnessed a couple of other people’s births, btw…)  I wouldn’t say it’s “magical,” but the moment of birth *is* pretty damn significant.  For the newborn drawing its first breaths, to the bio mother ending labor, and anyone else close to them.  That’s probably why society has made a big deal of birthdays for a long time.   We carefully note the exact time, we engrave the date on headstones, etc.  That magical “moment of conception” you pro-lifers go on and on about, though?  Not so much.;0;0_abortion_abortions_fetus_pregnancy;for;against;
3184; Maybe they have a passion for biochemistry and a desire to help people but also a belief that abortion is immoral?  Should a clerk at a gun store be allowed the discretion to deny a gun sale to someone?;0;0_abortion_abortions_fetus_pregnancy;neutral;against;
152667;You’re saying born people have more rights than an unborn person who can’t even speak for themselves ? When do rights come into play? Is it only after you’re born that you’re given your constitutional rights ?;0;0_abortion_abortions_fetus_pregnancy;neutral;against;
282789;Down that path lies madness.  You start by telling people that they can't have children if they have had past miscarriages.  You end by telling people what they can and cannot do with their lives.  Are some deaths preventable by ending all smoking?  You outlaw smoking.  Are some deaths preventable by not eating meat?  You outlaw meat products.  Are some deaths preventable by not allowing you to drive cars?  You outlaw private transportation.  All deaths are preventable by simply having no children, ever.    As I said, I think it is valid to ask someone to strongly consider not having a child if they have a history of miscarriage.  However, obligating them not to by law is not appropriate.    Preventing someone from deciding to kill someone is entirely do-able and something we can expect of someone.    Preventing someone from doing anything that might potentially cause someone to die someday is not only the end of liberty, it's also impossible and adds an unbound obligation to people in a way that telling them they need to endure a pregnancy is not.;0;0_abortion_abortions_fetus_pregnancy;against;for;
185589;And in what way is Abortion Healthcare?;0;0_abortion_abortions_fetus_pregnancy;against;neutral;
29736;I would save the infant. This isn’t a hard question and it’s not the “gotcha” you think it is.   Women are not being given the choice between killing an infant or killing a fetus during an abortion. You can value both. This is by definition a false dichotomy.;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
38278;Birth especially is grievous bodily harm.;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
156200; My reason for not allowing late term abortions is that when the fetus becomes viable, the woman now has a *new* option to back out of a pregnancy, which is to just give birth. The definition of fetus viability means that the fetus can survive outside the mother, so there’s no reason to abort. The fetus doesn’t have to use the mother’s body so she can cut off access to her body and her organs. Before viability, the the only option that women have to back out of a pregnancy is to abort. So bodily autonomy is respected in all cases. Also, remember that I said that abortion is healthcare (based on the definition of healthcare which doesn’t include whether it’s legal or not), and when the fetus becomes viable, women now have a new option to get healthcare without aborting.   If you hold that view, you have to show consistency in your view. Otherwise, what’s stopping people from conveniently applying their morals when they want to? Morals are subjective but *moral consistency* is important. In the car accident scenario, you took an action that had a risk of hurting someone else and yourself and that risk ended up occurring, but you still deserve healthcare and the government still can’t force you to donate organs or body parts in that case even if the other person would die. The pregnancy situation is *directly* analogous so the same rules should apply. If you don’t agree, then you need to present an objective argument why, not just say it’s because it’s what you personally believe. Because then I can easily just counter that I disagree because it’s my personal belief and we would never get anywhere.     When you give someone any power, there will always be someone who misuses it. Always. This doesn’t apply to just abortions. Most people use knives to cut vegetables and meat, but some psychos use it to kill innocent people. Most people use cars responsibly to get to places, but some people drive drunk or irresponsibly and end people’s lives. Most people use controlled medication responsibly, but some people will abuse those medications or give it to other people irresponsibly. The truth is that anytime you give people something, someone will misuse it, but that doesn’t mean most people will. Abortion is a difficult decision for a lot of women. I’ve heard so many pro-choice women saying that they personally would never get an abortion but they can’t choose for other people. I’ve heard of so many women who were literally pressured to get an abortion but still chose to keep the baby. Will some women misuse abortion and treat it like some sort of birth control? Sure, but you can’t take away something from a majority of people just because a small group of people would misuse it. Because then you would have to take away cars, planes, knives, controlled medication, hammers, guns, etc. Anything that someone could use to harm another person. Again, this is to maintain moral consistency.   Also, I just want to reiterate that bodily autonomy is important not because I say so or that it’s what I personally value. Like I said in my previous comment, you have to draw boundary on ownership when it comes to enforcing your morals. I can’t tell you what to do with what you own and you can’t do that to me. If we started doing that, no one would get anywhere, because as soon as you force someone to do something, they can force you to do something to cancel it out. The government also has to respect ownership. The reason that parents have to use their resources on kids is because they voluntarily consented to it in order to have parental rights. The reason that the government can take our tax money is that we consent to it by using federal services like roads, police, the justice system, etc. There’s a lot of things people do that I don’t think they should but I can’t control because I have no rights over them. I can’t force rich people to donate money to the poor because it’s not my money. I can’t force people not to say mean things to other people because it’s their voice and they have freedom of speech. So you’re right that people do a lot of things that other people would think they shouldn’t, but that doesn’t mean they can force them to stop.;0;0_abortion_abortions_fetus_pregnancy;for;against;
272393; Incorrect, you achieve abortions bans via having no abortions… this is achieved by all pregnancies going to term (women giving birth) or no pregnancies at all (no women giving birth)…  Are you supportive of anti-trespassing and anti-theft laws? Some homeless people will probably be forced to sleep out in the cold and go hungry.  Therefore if you support this, you want homeless people to be possibly forced to sleep out in the cold and go hungry.;0;0_abortion_abortions_fetus_pregnancy;for;neutral;
284620;They mother’s opinion is irrelevant if she wants to kill her baby. Just as a friendly reminder, we are talking about elective late term abortions.  5 doctors so that there isn’t a tie in the decision. If the law is written that they need a majority of 5 doctors signing off on it then lawyers don’t need to be involved/have a say in the decision;0;0_abortion_abortions_fetus_pregnancy;neutral;against;
95211; Lol, nobody lost their abortion rights when Democrats were in charge of the relevant institutions. Texans didn't lose abortion rights under Ann Richards, and Americans didn't lose abortion rights when there was a liberal majority on the Supreme Court, either. I'm sorry you're confused, but it was ~~conservatives~~ reactionaries who did both of those things. All you're doing is shifting blame from Republicans, where it belongs, onto Democrats. It's called [Murc's Law](https://www.urbandictionary.com/define.php?term=murc%27s%20law).   Codification isn't the answer people think it is. A Supreme Court that can overturn a half-century-old precedent can just as easily find a statute unconstitutional. It's what they did in *Shelby County*, it's what they did in *Brnovich*, and it's what they did in *Bruen*.  Americans didn't lose abortion rights because of anything Biden or Democrats did or didn't do. Democrats didn't legislate away anyone's abortion rights. Americans lost their abortion rights because RBG failed to timely retire, and because American voters failed in nearly a decade of elections, which allowed Republicans to take away abortion rights.  If they'd elected a Democratic Senate majority in 2014, which would've let Obama fill Scalia's seat, there would be no Gorsuch. That would've given us a 5-4 liberal majority. They failed again in 2016, electing Trump and a GOP Senate majority instead of Clinton and Democratic majorities, giving us Gorsuch and Kavanaugh. That gave us a 5-4 reactionary majority. Then they failed again in 2018, giving us Barrett, and a 6-3 reactionary majority. Then they did the absolute bare minimum in 2020, electing a razor-thin Democratic margin in the House, and a literal zero-seat margin in the Senate.  There was no reason to codify abortion rights prior to 2017, because any bill that could actually have passed would've offered weaker protections than Roe already provided. It would've been legislating *away* abortion rights! But, to the extent you think it would've been worthwhile (you're wrong), the last chance they had to do so was during the 111th Congress, the first half of Obama's first term. Was there any movement to codify abortion rights back then? No. For the 112th-116th Congresses, it was impossible, because voters made it impossible. And in the 117th Congress, it was theoretically possible, except, as you already pointed out, they don't have the votes to either overcome or abolish the filibuster. Because, again, voters did the bare minimum in 2020. So you claim they could've done it, but then admit they actually couldn't. And, again, it wouldn't actually do what you want it to do in the first place, even if they did have the votes for it. Which they don't.  Losing abortion rights was a forgone conclusion after 2016. It's just that it took another six years to find a case and for that case to work its way to to the Supreme Court. You don't protect abortion rights by sometimes electing Democrats and sometimes electing Republicans, and hoping Democrats can do enough while they're in power to prevent Republicans from undoing it when they're in power. That's not how it works! You protect abortion rights by electing Democrats, at every level of government, in every single election, so Republicans never have an opportunity to take those rights away in the first place. If we'd elected Democratic majorities in 2014, 2016, and 2018, and elected Clinton over Trump, Dobb wouldn't have even been heard in the Supreme Court, and *Roe* and *Casey* would still be good law.   It's called choosing your battles. There is a finite amount of time and resources, and there's an opportunity cost to pursuing a bill that's doomed to fail, in that it means those resources can't be used to pursue another bill that could actually pass instead.   Lol, what did which Republicans do when? Citations needed.   Prove it. Elect all Democrats, and see what happens. Take away all their excuses you think they use. Filibuster becomes irrelevant, parliamentarian becomes irrelevant, the VP breaking ties becomes irrelevant, absences and vacancies become irrelevant. Or hell, try even just electing filibuster- and veto-proof supermajorities in both houses of Congress. Then it won't even matter who wins the presidency, because they'll have the votes to override any President's veto.;0;0_abortion_abortions_fetus_pregnancy;for;neutral;
268741;Where do I get the idea that women don't believe abortion is immoral... by talking to them!  I'm not chronically online nor am I without empathy, and I'm not sure outside of projection why would think I am. Most people getting an abortion do not believe it to be an evil act.   But doctors, well, they're actually performing the procedure. I know not of what doctors do when I go under, but I would hope they do.  A 12 week (ie well within first trimester) fetus has fully formed legs and arms, body, and face. The doctor sees this literally. A woman can be ignorant of what a doctor is doing. Therefore, a woman likely won't have mens rea, but a doctor certainly does.;0;0_abortion_abortions_fetus_pregnancy;against;neutral;
60228;To the extent my desires have not been clear, let me summarize: my personal opinion is that a woman should be permitted by law to abort her unborn only when reasonably necessary to avert a serious and imminent threat to the woman's life, in which serious means more likely to occur than not and imminent means happening soon (days, weeks) and that no reasonable, available alternative exists.;0;0_abortion_abortions_fetus_pregnancy;against;for;
30045; Because you’re trying to expand the pro-life ideology beyond abortion. So either accept the implied “pro fetal life” and “pro choice to carry a pregnancy”, or both terms need changed.   I’ve never seen that claim. Their ideology claims to be against legal abortion. That’s it. You’re the one implying the other beliefs.    And to carry the name, all pro-life people need to do is advocate for fetus’ life to not be willfully ended.;0;0_abortion_abortions_fetus_pregnancy;neutral;against;
237275;No. You utilize food. By putting it into your mouth from where it goes into your digestive system. The digestive system then extracts from it what cells need, add what cells need, separate the waste, and enter everything cells need into the bloodstream.  AFTER all that happened, cells then utilize the nutrients in the bloodstream.  Is pro-life really not aware enough of how human bodies keep themselves alive that they think organ systems entering stuff into the bloodstream is the same as cells drawing stuff out of the bloodstream?;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
100920;“Most people who support it also agree that abortion should be legal any time” is such a statement. Im going to need a source for that;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
101460;"Tbf, we way too often show images of &lt;8 week embryos, even though we pretty much universally are OK with abortion in 15 weeks and even beyond that. I only have next to zero knowledge of embryology and fetal development, but the fact it's the stage when the fetus begins to move quite a bit, suck their thumbs and hiccup, makes me quite a bit susceptible to anti choice propaganda.";0;0_abortion_abortions_fetus_pregnancy;against;neutral;
279488;By controlling what history is taught in school.  They'll forbid teaching anything about abortion, or even mentioning it in a school.;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
11615;It's possible for the federal government to establish a short window (e.g. 6 weeks) that all states have to abide by or an exception for rape, incest, etc.;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
241370;Citation needed that abortion is torturing a fetus;0;0_abortion_abortions_fetus_pregnancy;against;neutral;
13832;‘We don’t play the game of “this human is more valuable than this one”’  Yes, you do. You absolutely do. You seem a fetus’ right to life special and more valuable than the pregnant person’s right to bodily autonomy. You seem a fetus far more valuable than the person carrying it. And why? What for?;0;0_abortion_abortions_fetus_pregnancy;for;neutral;
155403;I’m not an absolutist. I don’t think the car accident scenario has to be thought of the same way as abortion.   You’re not required to donate your organs because of a ton of factors. I’ve already explained that part of it. If that person dies you’re gonna be charged still though and face repercussions. It’s just a completely different scenario than abortion I don’t see how it’s comparable.   It doesn’t apply to pregnant women because sex=pregnancy. That’s it. That’s what sex is for on a basic level. We have sex for fun sure but we know the risk. And that risk is a chance we take. And remember I’m arguing for the idea that you SHOULD have a chance in early term to abort just not after a certain period of time. But not based on body autonomy, based on this life isn’t even a life yet. I think body autonomy is irrelevant in this situation. I’m not gonna be an absolutist for body autonomy and say that every scenario should be the same. I think you chose to do something with the risk of bringing a child into the world and you should take responsibility for it. If you can’t abort it when it’s not formed then you should take responsibility for that now formed child just as you would if it was outside of the womb.   I’m not gonna sit here and try to say that you getting hurt in a car accident should be applied the same way as abortion. It’s hurting my head even trying to compare the two.  I think early term abortion you can compare and same with medical problems in pregnancies because yes you should have access to basic healthcare. But having late term abortions, there’s now a developed child involved that has to be taken into consideration and the abortion isn’t required. If a doctor has to pop your arm back in place after an accident there’s really no downside to that. With an abortion you’re aborting a whole child;0;0_abortion_abortions_fetus_pregnancy;for;against;
129603; I somewhat agree with this. There are definitely abortion advocates that want abortion all the way up until 9 months for whatever reason. There are people that I'm arguing with here in this discussion that support abortion all the way up until 9 months.    I don't really understand this argument. Because animals can kill there children we should be allowed to do it too?;0;0_abortion_abortions_fetus_pregnancy;neutral;against;
264343;Yes but if her decision to stop the pregnancy results in repercussions that’s not having bodily autonomy.  If a woman has an abortion and goes to jail not for the abortion but for killing a viable unborn child you would say that’s a violation of bodily autonomy wouldn’t you?;0;0_abortion_abortions_fetus_pregnancy;neutral;against;
